Compound;Bandgap (eV);H2 production rate (umol.g-1.h-1) ;Bandgap (eV);Incident light cut-off (nm);Particle size (nm);Radiation (W);Specific Surface Area m2.g-1;Catalyst amount (g);Co-catalyst;Co-catalyst type;Reaction;Reaction solution;Reaction solution concentration;Carbon source;Sacrificial agent;Sacrificial agent source;Preparation method;Calcination temperature (°C);Calcination time (h);Reference
TBA/HPb2Nb3O10;Bandgap (eV);34;2.63;415;2000;300;-;0.5;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(3.4 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;1000;48;https://doi.org/10.1002/cctc.201402924
HPb2Nb3O10;Bandgap (eV);12;2.58;415;2000;300;3.82;0.5;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(3.4 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;1000;48;https://doi.org/10.1002/cctc.201402924
BaSnO3;Bandgap (eV);375;2.9;420;100;500;155;0.3;Pt;H2PtCl6·6H2O;Photoreform;Water / glycerol;(9: 1 v/v);C3H8O3;TRUE;C3H8O3;hydrothermal synthesis;190;12;https://doi.org/10.1016/j.optmat.2023.114517
Ag2OBaSnO3;Bandgap (eV);3225;1.98;420;100;500;145;0.3;Pt;H2PtCl6·6H2O;Photoreform;Water / glycerol;(9 : 1 v/v);C3H8O3;TRUE;C3H8O3;hydrothermal synthesis;190;12;https://doi.org/10.1016/j.optmat.2023.114517
Ag2OBaSnO3;Bandgap (eV);1100;2.1;420;100;500;152;0.3;Pt;H2PtCl6·6H2O;Photoreform;Water / glycerol;(9 : 1 v/v);C3H8O3;TRUE;C3H8O3;hydrothermal synthesis;190;12;https://doi.org/10.1016/j.optmat.2023.114517
Ag2OBaSnO3;Bandgap (eV);1650;2;420;100;500;148;0.3;Pt;H2PtCl6·6H2O;Photoreform;Water / glycerol;(9 : 1 v/v);C3H8O3;TRUE;C3H8O3;hydrothermal synthesis;190;12;https://doi.org/10.1016/j.optmat.2023.114517
Ag2OBaSnO3;Bandgap (eV);2155;1.97;420;100;500;142;0.3;Pt;H2PtCl6·6H2O;Photoreform;Water / glycerol;(9 : 1 v/v);C3H8O3;TRUE;C3H8O3;hydrothermal synthesis;190;12;https://doi.org/10.1016/j.optmat.2023.114517
SrTiO3;Bandgap (eV);0;3.20;420;200;100;-;0.03;Au;Au nanoparticles;Photocatalysis;Water / Na2S / Na2SO3;-;-;FALSE;-;Sol-gel assisted electrospinning;800;2;https://doi.org/10.1016/j.mcat.2019.110719
CdSSrTiO3;Bandgap (eV);7.3;2.53;420;200;100;-;0.03;Au;Au nanoparticles;Photocatalysis;Water / Na2S / Na2SO3;-;-;FALSE;-;Sol-gel assisted electrospinning;800;2;https://doi.org/10.1016/j.mcat.2019.110719
CdSAuSrTiO3;Bandgap (eV);48.3;2.48;420;100;100;-;0.03;Au;Au nanoparticles;Photocatalysis;Water / Na2S / Na2SO3;-;-;FALSE;-;Sol-gel assisted electrospinning;800;2;https://doi.org/10.1016/j.mcat.2019.110719
Cs6Cu3AgBr10;Bandgap (eV);488;3.26;400;4000;300;-;0.03;FALSE;-;Photocatalysis;H3PO2 / HBr;(1 : 4 v/v);-;FALSE;-;Cooling crystallization method;90;24;https://doi.org/10.1016/j.seppur.2024.130111
Cs3Cu2Br5;Bandgap (eV);336;3.6;400;4000;300;-;0.03;FALSE;-;Photocatalysis;H3PO2 / HBr;(1 : 4 v/v);-;FALSE;-;Cooling crystallization method;90;24;https://doi.org/10.1016/j.seppur.2024.130111
CaTiO3;Bandgap (eV);0;3.5;415;19.1;300;31.7;0.1;FALSE;-;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;Spray Pyrolysis;800;-;https://doi.org/10.1007/s11664-017-5551-4
CaCu0.005Ti0.995O3;Bandgap (eV);40;3.5;415;19.1;300;31.7;0.1;FALSE;-;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;Spray Pyrolysis;800;-;https://doi.org/10.1007/s11664-017-5551-4
CaCu0.01Ti0.99O3;Bandgap (eV);140.7;3.5;415;19.1;300;31.7;0.1;FALSE;-;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;Spray Pyrolysis;800;-;https://doi.org/10.1007/s11664-017-5551-4
CaCu0.015Ti0.985O3;Bandgap (eV);95;3.5;415;19.1;300;31.7;0.1;FALSE;-;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;Spray Pyrolysis;800;-;https://doi.org/10.1007/s11664-017-5551-4
CaCu0.02Ti0.98O3;Bandgap (eV);70;3.5;415;19.1;300;31.7;0.1;FALSE;-;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;Spray Pyrolysis;800;-;https://doi.org/10.1007/s11664-017-5551-4
CaCu0.02Ti0.98O3;Bandgap (eV);295;3.5;415;19.1;300;44;0.1;FALSE;-;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;Spray Pyrolysis;800;-;https://doi.org/10.1007/s11664-017-5551-4
Sr0.9La0.1Ti0.9Cr0.1O3;Bandgap (eV);28800;2.31;400;1000;300;7.03;0.1;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(9 : 1 v/v);CH3OH;TRUE;CH3OH;hydrothermal synthesis;200;48;https://doi.org/10.1016/j.ijhydene.2017.01.064
Ca0.9La0.1Ti0.9Cr0.1O3;Bandgap (eV);12000;2.49;400;1000;300;3.34;0.1;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(9 : 1 v/v);CH3OH;TRUE;CH3OH;hydrothermal synthesis;200;48;https://doi.org/10.1016/j.ijhydene.2017.01.064
Ba0.9La0.1Ti0.9Cr0.1O3;Bandgap (eV);4000;2.52;400;1000;300;22.46;0.1;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(9 : 1 v/v);CH3OH;TRUE;CH3OH;hydrothermal synthesis;200;48;https://doi.org/10.1016/j.ijhydene.2017.01.064
KCa2Nb3O10;Bandgap (eV);7.78;3.35;400;5000;300;-;0.1;CdS;CdS;Photoreform;Water / Lactic acid;(4 : 1 v/v);C3H6O3;TRUE;C3H6O3;solid-state reaction;1200;10;https://doi.org/10.1016/j.jallcom.2023.171074
CdSKCa2Nb3O10;Bandgap (eV);752;2.25;400;5000;300;-;0.1;CdS;CdS;Photoreform;Water / Lactic acid;(4 : 1 v/v);C3H6O3;TRUE;C3H6O3;solid-state reaction;1200;10;https://doi.org/10.1016/j.jallcom.2023.171074
CdSNiKCa2Nb3O10;Bandgap (eV);1474;2.25;400;5000;300;-;0.1;CdS;CdS;Photoreform;Water / Lactic acid;(4 : 1 v/v);C3H6O3;TRUE;C3H6O3;solid-state reaction;1200;10;https://doi.org/10.1016/j.jallcom.2023.171074
CdSNiKCa2Nb3O10;Bandgap (eV);3159;2.25;400;5000;300;-;0.1;CdS;CdS;Photoreform;Water / Lactic acid;(4 : 1 v/v);C3H6O3;TRUE;C3H6O3;solid-state reaction;1200;10;https://doi.org/10.1016/j.jallcom.2023.171074
CdSNiKCa2Nb3O10;Bandgap (eV);5212;2.25;400;5000;300;-;0.1;CdS;CdS;Photoreform;Water / Lactic acid;(4 : 1 v/v);C3H6O3;TRUE;C3H6O3;solid-state reaction;1200;10;https://doi.org/10.1016/j.jallcom.2023.171074
CdSNiKCa2Nb3O10;Bandgap (eV);2641;2.25;400;5000;300;-;0.1;CdS;CdS;Photoreform;Water / Lactic acid;(4 : 1 v/v);C3H6O3;TRUE;C3H6O3;solid-state reaction;1200;10;https://doi.org/10.1016/j.jallcom.2023.171074
SrTiO3;Bandgap (eV);1307;3.25;420;1500;250;1.24;0.1;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;solid-state reaction;1300;20;http://dx.doi.org/10.1007/s10853-016-9945-0
SrTi0.9Cr0.1O3-δ;Bandgap (eV);6240;2.31;420;500;250;3.46;0.1;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;solid-state reaction;1300;20;http://dx.doi.org/10.1007/s10853-016-9945-0
La0.1Sr0.9Ti0.9Cr0.1O3-δ;Bandgap (eV);500;2.11;420;1000;250;2.63;0.1;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;solid-state reaction;1300;20;http://dx.doi.org/10.1007/s10853-016-9945-0
ZnTiO3;Bandgap (eV);156.7;3.87;254;318;-;3;0.2;FALSE;-;Photocatalysis;Water;-;-;FALSE;-;solvo-combustion;800;24;http://dx.doi.org/10.1016/j.jphotochem.2018.11.004
CdTiO3;Bandgap (eV);41.7;4.00;254;285;-;3;0.2;FALSE;-;Photocatalysis;Water;-;-;FALSE;-;solid-state reaction;800;24;http://dx.doi.org/10.1016/j.jphotochem.2018.11.004
PbTiO3;Bandgap (eV);133.3;2.72;254;79;-;3;0.2;FALSE;-;Photocatalysis;Water;-;-;FALSE;-;solid-state reaction;800;24;http://dx.doi.org/10.1016/j.jphotochem.2018.11.004
CaBi4Ti4O15;Bandgap (eV);0;3.36;420;-;450;-;0.3;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(6.7 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;1200;48;https://doi.org/10.1016/j.jssc.2006.01.024
PbBi4Ti4O15;Bandgap (eV);37333;3.02;420;-;450;-;0.3;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(6.7 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;1200;48;https://doi.org/10.1016/j.jssc.2006.01.024
CaBi2Nb2O9;Bandgap (eV);0;3.18;420;-;450;-;0.3;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(6.7 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;1200;48;https://doi.org/10.1016/j.jssc.2006.01.024
PbBi2Nb2O9;Bandgap (eV);10667;2.88;420;-;450;-;0.3;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(6.7 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;1200;48;https://doi.org/10.1016/j.jssc.2006.01.024
K0.5La0.5Ca1.5Nb3O10;Bandgap (eV);0;3.44;420;-;450;-;0.3;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(6.7 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;1200;48;https://doi.org/10.1016/j.jssc.2006.01.024
K0.5La0.5Ca0.75Pb0.75Nb3O10;Bandgap (eV);0;3.09;420;-;450;-;0.3;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(6.7 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;1200;48;https://doi.org/10.1016/j.jssc.2006.01.024
K0.5La0.25Bi0.25Ca0.75Pb0.75Nb3O10;Bandgap (eV);0;3.06;420;-;450;-;0.3;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(6.7 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;1200;48;https://doi.org/10.1016/j.jssc.2006.01.024
Sr3Ti2O7;Bandgap (eV);0;3.31;420;-;450;-;0.3;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(6.7 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;1200;48;https://doi.org/10.1016/j.jssc.2006.01.024
PbTiO3;Bandgap (eV);45333;2.98;420;-;450;-;0.3;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(6.7 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;1200;48;https://doi.org/10.1016/j.jssc.2006.01.024
LaSrTiO3;Bandgap (eV);246.3;3.81;420;20;500;33.3;0.05;FALSE;-;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;hydrothermal synthesis;220;24;http://dx.doi.org/10.1007/s42114-023-00759-5
LaNbSrTiO3;Bandgap (eV);673.8;3.81;420;20;500;33.3;0.05;FALSE;-;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;hydrothermal synthesis;220;24;http://dx.doi.org/10.1007/s42114-023-00759-5
SrTiO3;Bandgap (eV);190;3.2;420;20;500;33.3;0.05;FALSE;-;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;hydrothermal synthesis;220;24;http://dx.doi.org/10.1007/s42114-023-00759-5
LaMnO3;Bandgap (eV);70;3.55;400;25;300;14.6;0.15;FALSE;-;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;Green solid-state combustion;700;4;https://doi.org/10.3390/nano12172985
AgLaMnO3;Bandgap (eV);200;3.23;400;25;300;12.2;0.15;Ag;Ag nanoparticles;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;Green solid-state combustion;700;4;https://doi.org/10.3390/nano12172985
AuLaMnO3;Bandgap (eV);1000;2.98;400;25;300;13.5;0.15;Au;Au nanoparticles;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;Green solid-state combustion;700;4;https://doi.org/10.3390/nano12172985
PdLaMnO3;Bandgap (eV);800;3.25;400;25;300;12.4;0.15;Pd;Pd nanoparticles;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;Green solid-state combustion;700;4;https://doi.org/10.3390/nano12172985
PtLaMnO3;Bandgap (eV);1600;2.82;400;25;300;20.1;0.15;Pt;Pt nanoparticles;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;Green solid-state combustion;700;4;https://doi.org/10.3390/nano12172985
Sr2TiO4;Bandgap (eV);0;3.49;420;200;500;3.2;0.10;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;Polymerized-complex method;900;10;https://doi.org/10.1016/j.apcatb.2017.03.063
Sr1.99La0.001Ti0.99Rh0.001O4;Bandgap (eV);400;2.65;420;200;500;5.4;0.10;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;Polymerized-complex method;900;10;https://doi.org/10.1016/j.apcatb.2017.03.063
Sr1.97La0.03Ti0.97Rh0.03O4;Bandgap (eV);400;2.43;420;200;500;6.8;0.10;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;Polymerized-complex method;900;10;https://doi.org/10.1016/j.apcatb.2017.03.063
Sr1.95La0.05Ti0.95Rh0.05O4;Bandgap (eV);600;2.50;420;200;500;6.1;0.10;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;Polymerized-complex method;900;10;https://doi.org/10.1016/j.apcatb.2017.03.063
Sr1.93La0.07Ti0.95Rh0.05O4;Bandgap (eV);300;2.58;420;200;500;5.9;0.10;Pt;H2PtCl6·6H2O;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;Polymerized-complex method;900;10;https://doi.org/10.1016/j.apcatb.2017.03.063
LaMnO3;Bandgap (eV);178;1.61;400;10000;300;-;-;BN;Boron Nitride Quantum Dots;Photoreform;Water / methanol;(9 : 1 v/v);CH3OH;TRUE;CH3OH;hydrothermal synthesis;700;4;https://doi.org/10.1016/j.ijhydene.2023.03.382
BNLaMnO3;Bandgap (eV);294;2.02;400;10000;300;-;-;BN;Boron Nitride Quantum Dots;Photoreform;Water / methanol;(9 : 1 v/v);CH3OH;TRUE;CH3OH;hydrothermal synthesis;700;4;https://doi.org/10.1016/j.ijhydene.2023.03.382
CsPbBr3;Bandgap (eV);8.67;2.29;400;24.05;300;-;0.3;FALSE;-;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;Melt–quench glass method;1200;0.5;https://doi.org/10.1016/j.mcat.2020.110764
CsPbBrZn0.5;Bandgap (eV);11.70;2.32;400;19.10;300;-;0.3;FALSE;-;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;Melt–quench glass method;1200;0.5;https://doi.org/10.1016/j.mcat.2020.110764
CsPbBrZn0.9;Bandgap (eV);10.53;2.32;400;19.10;300;-;0.3;FALSE;-;Photocatalysis;Water / Na2SO3;-;-;FALSE;-;Melt–quench glass method;1200;0.5;https://doi.org/10.1016/j.mcat.2020.110764
CaNbO2N;Bandgap (eV);10000;2.0;420;-;300;31;0.1;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(9 : 1 v/v);CH3OH;TRUE;CH3OH;Polymerized-complex method;760;15;https://doi.org/10.1002/cssc.201000207
SrNbO2N;Bandgap (eV);0;1.8;420;-;300;-;0.1;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(9 : 1 v/v);CH3OH;TRUE;CH3OH;Polymerized-complex method;750;15;https://doi.org/10.1002/cssc.201000207
BaNbO2N;Bandgap (eV);0;1.7;420;-;300;-;0.1;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(9 : 1 v/v);CH3OH;TRUE;CH3OH;Polymerized-complex method;750;15;https://doi.org/10.1002/cssc.201000207
LaNbO2N;Bandgap (eV);0;1.6;420;-;300;-;0.1;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(9 : 1 v/v);CH3OH;TRUE;CH3OH;Polymerized-complex method;750;15;https://doi.org/10.1002/cssc.201000207
Ba5Ta4O15;Bandgap (eV);305;4.05;400;-;300;-;0.1;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;1150;36;https://doi.org/10.1021/jp202783t
NBa5Ta4O15;Bandgap (eV);495;1.75;400;-;300;-;0.1;Pt;H2PtCl6·6H2O;Photoreform;Water / methanol;(4 : 1 v/v);CH3OH;TRUE;CH3OH;solid-state reaction;900;2.5;https://doi.org/10.1021/jp202783t
